Inventory ID,Product Name,Inventory (Units),Quantity,Inventory Location,Inventory Status,Prod_ID,Last Updated Date,Supplier Name,Reorder Threshold,Storage Condition
INV-90001,CloudHub Gateway,496,17,London Hub,In Transit,PROD-11149,2025-08-08,GlobalNet Supplies,35,Climate-Controlled
INV-90002,CloudHub Gateway,249,168,London Hub,On Hold,PROD-11168,2025-03-24,GlobalNet Supplies,50,Climate-Controlled
INV-90003,CloudHub Gateway,55,118,Bangalore WH,In Transit,PROD-11931,2025-08-18,CloudWave Ltd,17,Normal
INV-90004,SmartEdge Router,131,131,Singapore DC,Damaged,PROD-11123,2025-04-23,CloudWave Ltd,11,Restricted
INV-90005,VisionX Switch,333,185,Singapore DC,In Transit,PROD-11484,2025-07-16,GlobalNet Supplies,29,Restricted
INV-90006,CloudHub Gateway,48,134,Singapore DC,Damaged,PROD-11451,2025-03-10,SecureLine Distributors,38,Restricted
INV-90007,StreamLine AP,122,187,New York DC,Available,PROD-11501,2025-01-21,SecureLine Distributors,37,Normal
INV-90008,CloudHub Gateway,463,79,New York DC,On Hold,PROD-11983,2025-06-08,CloudWave Ltd,11,Normal
INV-90009,StreamLine AP,404,16,London Hub,In Transit,PROD-11777,2025-04-20,GlobalNet Supplies,25,Normal
INV-90010,Nova Firewall,30,4,Berlin DC,Available,PROD-11919,2025-07-12,SecureLine Distributors,25,Restricted
INV-90011,VisionX Switch,31,111,Bangalore WH,In Transit,PROD-11746,2025-04-18,SecureLine Distributors,23,Normal
INV-90012,CloudHub Gateway,363,189,London Hub,Damaged,PROD-11409,2025-08-09,NetWorld Partners,20,Climate-Controlled
INV-90013,CloudHub Gateway,64,29,New York DC,Available,PROD-11456,2025-03-19,SecureLine Distributors,11,Restricted
INV-90014,SmartEdge Router,443,13,Singapore DC,Damaged,PROD-11718,2025-03-10,GlobalNet Supplies,36,Normal
INV-90015,Nova Firewall,86,118,Singapore DC,In Transit,PROD-11774,2025-07-15,GlobalNet Supplies,11,Normal
INV-90016,VisionX Switch,176,63,Bangalore WH,Available,PROD-11959,2025-04-23,GlobalNet Supplies,13,Climate-Controlled
INV-90017,Nova Firewall,302,88,Singapore DC,In Transit,PROD-11808,2025-02-11,CloudWave Ltd,25,Restricted
INV-90018,Nova Firewall,307,111,Bangalore WH,Available,PROD-11740,2025-06-04,CloudWave Ltd,41,Normal
INV-90019,StreamLine AP,130,160,New York DC,Available,PROD-11825,2025-08-09,CloudWave Ltd,56,Normal
INV-90020,Nova Firewall,91,11,New York DC,Available,PROD-11769,2025-03-14,CloudWave Ltd,50,Restricted
INV-90021,SmartEdge Router,163,20,Berlin DC,Reserved,PROD-11523,2025-02-12,NetWorld Partners,30,Climate-Controlled
INV-90022,VisionX Switch,318,49,Singapore DC,Reserved,PROD-11168,2025-04-16,SecureLine Distributors,54,Normal
INV-90023,Nova Firewall,116,25,Bangalore WH,Reserved,PROD-11712,2025-06-21,CloudWave Ltd,41,Climate-Controlled
INV-90024,SmartEdge Router,209,22,Berlin DC,Damaged,PROD-11762,2025-06-30,TechSource Inc,33,Climate-Controlled
INV-90025,StreamLine AP,100,180,Bangalore WH,On Hold,PROD-11545,2025-02-27,TechSource Inc,46,Restricted
INV-90026,StreamLine AP,352,93,Bangalore WH,Damaged,PROD-11391,2025-02-25,CloudWave Ltd,46,Restricted
INV-90027,CloudHub Gateway,454,111,London Hub,Available,PROD-11637,2025-01-24,GlobalNet Supplies,36,Climate-Controlled
INV-90028,VisionX Switch,454,101,Berlin DC,On Hold,PROD-11598,2025-08-18,GlobalNet Supplies,53,Restricted
INV-90029,Nova Firewall,160,84,Bangalore WH,In Transit,PROD-11627,2025-04-26,SecureLine Distributors,31,Restricted
INV-90030,SmartEdge Router,213,22,New York DC,Damaged,PROD-11277,2025-03-13,GlobalNet Supplies,43,Restricted
INV-90031,SmartEdge Router,316,172,Bangalore WH,Available,PROD-11688,2025-03-17,TechSource Inc,53,Climate-Controlled
INV-90032,SmartEdge Router,236,94,Bangalore WH,Available,PROD-11523,2025-02-24,NetWorld Partners,12,Restricted
INV-90033,SmartEdge Router,228,12,Bangalore WH,In Transit,PROD-11467,2025-01-06,GlobalNet Supplies,43,Restricted
INV-90034,SmartEdge Router,265,45,Singapore DC,Damaged,PROD-11211,2025-06-09,TechSource Inc,33,Restricted
INV-90035,StreamLine AP,121,137,Singapore DC,Available,PROD-11215,2025-04-20,GlobalNet Supplies,20,Restricted
INV-90036,SmartEdge Router,222,59,London Hub,Reserved,PROD-11918,2025-07-16,NetWorld Partners,26,Climate-Controlled
INV-90037,SmartEdge Router,450,78,Singapore DC,Available,PROD-11823,2025-08-09,GlobalNet Supplies,12,Normal
INV-90038,Nova Firewall,441,142,Bangalore WH,In Transit,PROD-11804,2025-04-20,GlobalNet Supplies,31,Normal
INV-90039,CloudHub Gateway,196,87,Berlin DC,On Hold,PROD-11210,2025-03-17,TechSource Inc,25,Climate-Controlled
INV-90040,Nova Firewall,447,44,Singapore DC,Available,PROD-11845,2025-02-07,CloudWave Ltd,32,Climate-Controlled
INV-90041,Nova Firewall,93,190,Bangalore WH,Damaged,PROD-11669,2025-03-15,CloudWave Ltd,45,Climate-Controlled
INV-90042,CloudHub Gateway,222,114,Berlin DC,On Hold,PROD-11490,2025-01-12,GlobalNet Supplies,38,Normal
INV-90043,StreamLine AP,23,14,Bangalore WH,Reserved,PROD-11807,2025-06-22,CloudWave Ltd,28,Restricted
INV-90044,StreamLine AP,365,79,Singapore DC,Reserved,PROD-11676,2025-07-09,SecureLine Distributors,47,Normal
INV-90045,SmartEdge Router,340,116,Bangalore WH,Damaged,PROD-11536,2025-03-31,TechSource Inc,23,Restricted
INV-90046,VisionX Switch,285,160,Singapore DC,On Hold,PROD-11724,2025-01-13,GlobalNet Supplies,40,Climate-Controlled
INV-90047,SmartEdge Router,354,48,New York DC,Available,PROD-11438,2025-04-20,SecureLine Distributors,21,Normal
INV-90048,Nova Firewall,151,161,New York DC,Reserved,PROD-11092,2025-05-16,TechSource Inc,48,Restricted
INV-90049,StreamLine AP,249,73,London Hub,On Hold,PROD-11164,2025-04-01,NetWorld Partners,47,Climate-Controlled
INV-90050,SmartEdge Router,286,155,Berlin DC,Available,PROD-11787,2025-05-09,CloudWave Ltd,59,Restricted
INV-90051,SmartEdge Router,403,171,London Hub,Reserved,PROD-11877,2025-06-27,GlobalNet Supplies,39,Restricted
INV-90052,StreamLine AP,262,38,London Hub,Damaged,PROD-11536,2025-02-11,TechSource Inc,26,Restricted
INV-90053,StreamLine AP,11,128,New York DC,On Hold,PROD-11395,2025-05-06,GlobalNet Supplies,23,Restricted
INV-90054,CloudHub Gateway,200,72,New York DC,Reserved,PROD-11488,2025-08-27,NetWorld Partners,36,Normal
INV-90055,Nova Firewall,121,86,New York DC,Reserved,PROD-11333,2025-04-04,SecureLine Distributors,12,Climate-Controlled
INV-90056,StreamLine AP,122,45,Singapore DC,In Transit,PROD-11618,2025-05-29,GlobalNet Supplies,10,Restricted
INV-90057,Nova Firewall,293,71,Berlin DC,On Hold,PROD-11596,2025-05-05,TechSource Inc,22,Normal
INV-90058,CloudHub Gateway,163,180,London Hub,In Transit,PROD-11093,2025-04-12,TechSource Inc,46,Climate-Controlled
INV-90059,SmartEdge Router,125,195,New York DC,In Transit,PROD-11592,2025-08-20,CloudWave Ltd,52,Climate-Controlled
INV-90060,CloudHub Gateway,88,59,New York DC,Damaged,PROD-11587,2025-06-03,CloudWave Ltd,38,Restricted
INV-90061,Nova Firewall,290,50,Singapore DC,Damaged,PROD-11348,2025-05-26,SecureLine Distributors,55,Normal
INV-90062,CloudHub Gateway,152,65,Bangalore WH,On Hold,PROD-11314,2025-07-16,CloudWave Ltd,32,Restricted
INV-90063,StreamLine AP,313,184,New York DC,Available,PROD-11542,2025-06-23,GlobalNet Supplies,32,Normal
INV-90064,CloudHub Gateway,118,186,Bangalore WH,Reserved,PROD-11071,2025-08-21,GlobalNet Supplies,40,Normal
INV-90065,Nova Firewall,370,167,London Hub,In Transit,PROD-11759,2025-08-08,NetWorld Partners,32,Normal
INV-90066,SmartEdge Router,251,138,Singapore DC,Damaged,PROD-11767,2025-01-17,GlobalNet Supplies,30,Restricted
INV-90067,Nova Firewall,462,153,New York DC,Damaged,PROD-11826,2025-04-29,NetWorld Partners,54,Normal
INV-90068,SmartEdge Router,407,118,New York DC,Damaged,PROD-11011,2025-03-28,NetWorld Partners,12,Restricted
INV-90069,Nova Firewall,449,184,Bangalore WH,Reserved,PROD-11270,2025-04-14,NetWorld Partners,51,Climate-Controlled
INV-90070,CloudHub Gateway,213,87,New York DC,In Transit,PROD-11452,2025-02-26,TechSource Inc,30,Climate-Controlled
INV-90071,SmartEdge Router,347,130,Berlin DC,On Hold,PROD-11967,2025-08-04,NetWorld Partners,45,Restricted
INV-90072,VisionX Switch,11,119,Bangalore WH,Damaged,PROD-11797,2025-04-04,SecureLine Distributors,33,Restricted
INV-90073,Nova Firewall,489,52,Singapore DC,Available,PROD-11785,2025-03-29,TechSource Inc,39,Normal
INV-90074,StreamLine AP,155,9,New York DC,In Transit,PROD-11751,2025-05-30,CloudWave Ltd,22,Climate-Controlled
INV-90075,Nova Firewall,375,14,Bangalore WH,In Transit,PROD-11469,2025-01-20,SecureLine Distributors,50,Normal
INV-90076,Nova Firewall,147,48,London Hub,In Transit,PROD-11121,2025-05-08,CloudWave Ltd,13,Climate-Controlled
INV-90077,VisionX Switch,89,121,Bangalore WH,In Transit,PROD-11145,2025-02-21,CloudWave Ltd,52,Climate-Controlled
