Problem Statement,Description,Issue ID,Summary,Customer Name,Product Name,SR ID,Pd_ID
API timeout errors,Dashboard page crashes intermittently,ISS-70001,UI crash,Watkins-Freeman,CloudEdge,SR-83668,PROD-11059
Login failures after upgrade,API call fails after 30s,ISS-70002,Sync issue,Cruz-Mckenzie,NetConnect,SR-83326,PROD-11256
API timeout errors,Dashboard page crashes intermittently,ISS-70003,Login issue post-upgrade,Smith PLC,DataSphere,SR-81867,PROD-11285
Login failures after upgrade,Average response time exceeds 10s,ISS-70004,Sync issue,"Jensen, Klein and Carter",CloudEdge,SR-84909,PROD-11283
Slow system response,Data not syncing between apps,ISS-70005,Performance degradation,Buchanan and Sons,DataSphere,SR-80731,PROD-11636
Login failures after upgrade,API call fails after 30s,ISS-70006,Login issue post-upgrade,Sutton and Sons,NetConnect,SR-80538,PROD-11394
Missing data sync,API call fails after 30s,ISS-70007,API latency,Diaz-Atkinson,DataSphere,SR-83889,PROD-11341
Missing data sync,Dashboard page crashes intermittently,ISS-70008,UI crash,"Poole, Sutton and King",CloudEdge,SR-81365,PROD-11632
API timeout errors,Average response time exceeds 10s,ISS-70009,Login issue post-upgrade,Thomas-Graham,DataSphere,SR-80567,PROD-11353
Dashboard not loading,Average response time exceeds 10s,ISS-70010,API latency,Castro-Williams,Insight360,SR-82448,PROD-11031
Dashboard not loading,Data not syncing between apps,ISS-70011,Sync issue,"Jones, Oconnor and Carr",DataSphere,SR-81740,PROD-11485
API timeout errors,Average response time exceeds 10s,ISS-70012,API latency,Brown-Mora,DataSphere,SR-83742,PROD-12000
Slow system response,Dashboard page crashes intermittently,ISS-70013,Performance degradation,Gutierrez LLC,Insight360,SR-82746,PROD-11611
API timeout errors,Data not syncing between apps,ISS-70014,Sync issue,Allen PLC,DataSphere,SR-84954,PROD-11617
API timeout errors,Users unable to log in after v2.3 patch,ISS-70015,Performance degradation,Grant-Lozano,NetConnect,SR-82064,PROD-11857
Slow system response,Data not syncing between apps,ISS-70016,Sync issue,Hill-Brooks,CoreAnalytics,SR-84895,PROD-11622
Slow system response,Data not syncing between apps,ISS-70017,UI crash,"Jackson, Krueger and Lee",Insight360,SR-80690,PROD-11034
Dashboard not loading,Dashboard page crashes intermittently,ISS-70018,Sync issue,Harris-Reed,NetConnect,SR-84600,PROD-11903
API timeout errors,Dashboard page crashes intermittently,ISS-70019,Login issue post-upgrade,Stokes-Roberts,NetConnect,SR-82993,PROD-11541
Login failures after upgrade,API call fails after 30s,ISS-70020,UI crash,"Flores, Wallace and Garza",DataSphere,SR-81220,PROD-11786
API timeout errors,Data not syncing between apps,ISS-70021,Sync issue,"Benson, Bright and Sandoval",CloudEdge,SR-81241,PROD-11277
