CampaignID,CampaignName,StartDate,EndDate,Budget,AdType,ImpressionsTarget,RevenueTarget
1,All-Access Pass: Streaming for Every Fan,2022-12-20T09:39:25,2025-03-24T12:08:00,15735.750858559586,TV,39715,179091.31205806544
2,Game Day Vision: Motivating Sports Culture,2023-12-10T07:45:36,2024-12-11T14:03:05,475314.5018957006,Digital,341506,627296.4788054858
3,Player Profiles: Fully Customizable Experience,2023-11-14T04:52:28,2025-05-01T23:42:29,247501.21510803685,Digital,861358,982992.6220817318
4,Live Action: Discrete Game Coverage,2024-04-12T08:00:30,2024-11-29T09:42:50,492508.5563953314,TV,366305,869537.6912
5,The Replay: Rewind Your Favorite Moments,2022-12-30T14:59:06,2025-01-23T20:54:00,479040.1102808349,Digital,560385,619123.9443297032
6,Fan Network: Connecting Sports Communities,2023-12-21T09:07:33,2025-07-26T01:16:04,172880.75420374438,TV,460445,691980.6410214601
7,4th Quarter Orchestration: Bringing the Action Home,2023-03-02T08:06:06,2024-10-03T21:57:39,80037.06622236154,Digital,304029,780504.8809268365
8,Zero-Tolerance Defense: Uncompromised Streaming,2023-06-18T12:34:16,2024-08-27T23:22:19,168258.1495401204,TV,193730,908019.3604377093
9,Bandwidth Play: High-Speed Sports Streaming,2024-06-14T07:46:40,2024-12-18T10:32:37,204696.93370352863,TV,254382,303627.88954459096
10,Winning Workforce: Behind the Broadcast,2024-06-19T09:13:45,2025-05-02T11:45:32,322783.6136,TV,351315,400154.50418934575
11,"Maximized Highlights: All the Plays, All the Time",2023-10-03T02:31:00,2025-07-03T22:32:32,387733.8385318275,Digital,585644,654537.9009528127
12,Discreet Match Coverage: Tailored to You,2023-06-29T11:09:11,2025-05-06T04:58:03,165798.7016341995,TV,808169,924307.4923612088
13,5th Gen Sports: Adaptive Streaming Technology,2023-03-30T12:27:28,2025-05-31T21:16:27,350040.4520087505,Digital,459188,297643.53720008506
14,Multi-Tasking Moments: Simultaneous Game Coverage,2024-02-22T10:01:46,2024-12-12T04:41:21,306974.8518529353,TV,721636,752438.0919630196
15,Bottom-Line Victory: Streamline Your Sports,2023-03-22T06:11:30,2025-05-11T09:08:12,79655.78227413895,TV,400273,618326.3879112371
