ContentID,Title,Genre,Language,Duration,BroadcastRights,ReleaseDate,ContentRating,ContentType,RelatedEventID,Description
1,Championship Final: The Decider #1,Live Match,Norwegian Nynorsk,163,National,2023-11-12T01:54:55,R,Live,50,Watch the thrilling conclusion as the top teams battle for the championship.
2,Top 10 Moments of the Season #2,Sports Documentary,Hiri Motu,96,Local,2023-09-22T01:31:39,PG,Recorded,19,Relive the top 10 moments that defined the season.
3,Player Spotlight: The Rise of a Star #3,Game Highlights,Uighur,87,International,2024-06-17T12:32:59,G,Recorded,36,A deep dive into the career of the rising star in the sports world.
4,The Ultimate Game Recap #4,Player Interviews,Pushto,30,Local,2023-05-29T13:31:16,PG-13,Live,9,Catch up on the entire season with the ultimate game recap.
5,In-Depth Match Analysis #5,Sports Analysis,Kikuyu,75,Local,2023-01-15T05:59:50,PG-13,Live,16,Expert analysis breaking down every aspect of the match.
6,Exclusive Interview with the MVP #6,Fan Reactions,Komi,53,International,2022-12-10T01:26:39,PG,Live,25,An exclusive interview with the MVP of the season.
7,Countdown to Kickoff: Match Preview #7,Match Previews,Sinhala,165,Local,2023-03-28T23:56:11,PG-13,Live,24,Get ready for the big match with an in-depth preview.
8,Legendary Players: A Look Back #8,Game Recaps,Uzbek,124,National,2024-07-04T05:01:14,PG-13,Live,23,A look back at the legendary players who changed the game.
9,Coach's Corner: Winning Strategies #9,Top Plays,Rundi,179,National,2023-05-21T01:44:51,G,Recorded,22,Join the coach as he shares his winning strategies.
10,The Road to the Finals #10,Coaching Insights,Church Slavic,112,International,2024-05-28T00:46:00,R,Live,24,Follow the journey of teams as they fight their way to the finals.
11,Fan Frenzy: Live Reactions #11,Live Match,South Ndebele,43,Local,2022-11-06T19:27:19,PG,Live,36,Experience the excitement of fans as they react to live game moments.
12,Championship Final: The Decider #12,Live Match,Indonesian,122,National,2023-06-03T12:30:23,R,Live,19,Watch the thrilling conclusion as the top teams battle for the championship.
13,Top 10 Moments of the Season #13,Sports Documentary,Telugu,168,National,2023-02-16T21:45:54,G,Recorded,21,Relive the top 10 moments that defined the season.
14,Player Spotlight: The Rise of a Star #14,Game Highlights,Haitian,84,National,2023-07-21T08:35:08,R,Live,29,A deep dive into the career of the rising star in the sports world.
15,The Ultimate Game Recap #15,Player Interviews,Kashmiri,51,International,2024-05-31T17:38:02,PG-13,Recorded,38,Catch up on the entire season with the ultimate game recap.
16,In-Depth Match Analysis #16,Sports Analysis,Pushto,116,Local,2022-12-31T00:31:28,PG-13,Recorded,16,Expert analysis breaking down every aspect of the match.
17,Exclusive Interview with the MVP #17,Fan Reactions,Kirghiz,145,Local,2022-08-23T14:15:50,PG,Live,13,An exclusive interview with the MVP of the season.
18,Countdown to Kickoff: Match Preview #18,Match Previews,Church Slavic,135,International,2023-11-15T22:15:54,R,Live,4,Get ready for the big match with an in-depth preview.
19,Legendary Players: A Look Back #19,Game Recaps,Avaric,170,National,2023-12-09T11:55:35,PG-13,Recorded,43,A look back at the legendary players who changed the game.
20,Coach's Corner: Winning Strategies #20,Top Plays,Kongo,141,International,2023-03-31T19:52:03,PG,Live,13,Join the coach as he shares his winning strategies.
