Order ID,Customer Name,Order Date,Order Status,Order Value ($),Order Qty,Product Name,Product Desc,Product Family,Ship to Country,Bill to Country,Party ID,Product ID
ORD-41502,Shaw-Perez,2025-05-13,Returned,1613,20,CloudEdge,Next-gen firewall,Analytics,Brazil,USA,CUST-10080,PROD-11284
ORD-42587,"Poole, Sutton and King",2025-04-04,Returned,11291,6,CloudEdge,Wi‑Fi 6 access point,Networking,Australia,Australia,CUST-10080,PROD-11679
ORD-42654,"Klein, Rodriguez and Chapman",2025-07-31,Delivered,21089,35,CloudEdge,Wi‑Fi 6 access point,Cloud Infra,India,Germany,CUST-10752,PROD-11125
ORD-41056,"Jones, Hardy and Harris",2024-11-24,Cancelled,1795,8,DataSphere,Next-gen firewall,AI Solutions,UAE,India,CUST-10307,PROD-11489
ORD-40706,Ross LLC,2025-06-27,Cancelled,1061,2,NetConnect,Wi‑Fi 6 access point,Storage,India,India,CUST-10138,PROD-11667
ORD-40107,Ellison-Coleman,2025-06-01,In Progress,5361,50,NetConnect,Next-gen firewall,Storage,Singapore,India,CUST-10883,PROD-11885
ORD-40590,"Bush, Carter and Ramsey",2025-07-07,Returned,21083,29,Insight360,48-port managed switch,Cloud Infra,UAE,Singapore,CUST-10741,PROD-11147
ORD-42469,Wilkins-Pham,2024-12-29,In Progress,14133,12,DataSphere,AI-powered analytics core,Security,Australia,Brazil,CUST-10434,PROD-11129
ORD-42414,Wolf Group,2025-04-20,Returned,24979,26,NetConnect,AI-powered analytics core,Analytics,Australia,Brazil,CUST-10629,PROD-11491
ORD-41601,"Richardson, Price and Lyons",2025-07-15,Returned,19167,50,CoreAnalytics,Wi‑Fi 6 access point,Cloud Infra,Germany,USA,CUST-10796,PROD-11411
ORD-42465,Berry-Bates,2024-10-21,Cancelled,4060,45,Insight360,Wi‑Fi 6 access point,Wireless,UAE,India,CUST-10150,PROD-11959
ORD-40229,Austin-Davies,2025-06-26,Delivered,4580,50,CloudEdge,Hybrid cloud gateway,Security,UAE,Singapore,CUST-10815,PROD-11949
ORD-40916,York-Ross,2024-10-15,In Progress,24376,18,Insight360,Wi‑Fi 6 access point,Wireless,UK,Brazil,CUST-10990,PROD-11970
ORD-40795,"Thomas, Smith and Cook",2025-02-03,Cancelled,15856,42,CloudEdge,AI-powered analytics core,Security,UAE,USA,CUST-10205,PROD-11254
ORD-43022,Evans Ltd,2025-05-23,Returned,23963,46,DataSphere,Hybrid cloud gateway,AI Solutions,USA,Germany,CUST-10666,PROD-11879
ORD-43544,Allen-Fuller,2025-06-25,Shipped,3305,12,CloudEdge,AI-powered analytics core,Networking,USA,Brazil,CUST-10725,PROD-11022
ORD-41074,Daugherty-Pruitt,2025-07-04,Shipped,21730,17,NetConnect,Hybrid cloud gateway,Wireless,USA,Brazil,CUST-10806,PROD-11236
ORD-43352,Moss LLC,2025-04-03,Returned,21121,13,CloudEdge,AI-powered analytics core,AI Solutions,UK,Singapore,CUST-10462,PROD-11421
ORD-41745,Sosa PLC,2024-12-19,In Progress,24453,11,CloudEdge,Next-gen firewall,Storage,India,USA,CUST-10964,PROD-11749
ORD-41085,Roberts-Chase,2025-04-03,In Progress,14631,9,CoreAnalytics,Next-gen firewall,Analytics,UAE,USA,CUST-10208,PROD-11288
ORD-40927,"Owens, Morrison and Clark",2024-11-23,Delivered,19603,19,DataSphere,High-speed enterprise router,Security,Brazil,UK,CUST-10472,PROD-11099
ORD-43050,Anderson-Moss,2024-11-12,Cancelled,7762,34,DataSphere,High-speed enterprise router,Storage,Brazil,UAE,CUST-10182,PROD-11678
ORD-41118,Richardson Group,2025-03-16,Returned,9487,28,NetConnect,Hybrid cloud gateway,Networking,Germany,Brazil,CUST-10034,PROD-11692
ORD-40643,Dunn-Anderson,2025-04-12,Shipped,3225,30,CoreAnalytics,High-speed enterprise router,Wireless,India,Australia,CUST-10185,PROD-11522
ORD-44768,"Adams, Johnson and Davis",2025-06-26,In Progress,6354,23,CloudEdge,Hybrid cloud gateway,Networking,Germany,India,CUST-10867,PROD-11972
ORD-40502,Rogers-Miller,2024-12-01,Returned,20591,45,CoreAnalytics,Next-gen firewall,Wireless,Singapore,Germany,CUST-10251,PROD-11861
ORD-44067,Dunn-Anderson,2025-05-15,Cancelled,18203,40,Insight360,48-port managed switch,Networking,UK,USA,CUST-10405,PROD-11950
