Logistics ID,Product Name,Order Date,Order Status,Fulfilment Date,Delivery Date,Delivery Status,Consignment Location,Cust_ID,Od_Contract_ID
LOG-80001,Nova Firewall,2025-01-26,In Progress,2025-07-03,2025-08-30,Out for Delivery,Singapore WH,CUST-10635,ORD-42597
LOG-80002,StreamLine AP,2025-06-23,Delivered,2025-05-20,2025-04-05,Returned,Berlin Hub,CUST-10523,ORD-42729
LOG-80003,SmartEdge Router,2025-05-27,Confirmed,2025-01-23,2025-02-26,Delivered,Berlin Hub,CUST-10014,ORD-43065
LOG-80004,VisionX Switch,2025-03-14,Delivered,2025-06-01,2025-04-26,Returned,Singapore WH,CUST-10490,ORD-40219
LOG-80005,StreamLine AP,2025-03-26,Shipped,2025-07-13,2025-01-07,Delivered,London DC,CUST-10966,ORD-44382
LOG-80006,Nova Firewall,2025-07-27,Cancelled,2025-07-18,2025-05-14,Out for Delivery,New York DC,CUST-10402,ORD-41132
LOG-80007,Nova Firewall,2025-06-01,Cancelled,2025-01-26,2025-05-04,Out for Delivery,Bangalore WH,CUST-10609,ORD-44347
LOG-80008,VisionX Switch,2025-01-06,Confirmed,2025-06-03,2025-02-09,Delivered,Berlin Hub,CUST-10827,ORD-40548
LOG-80009,Nova Firewall,2025-06-20,Cancelled,2025-08-14,2025-03-10,Delivered,Bangalore WH,CUST-10755,ORD-40973
LOG-80010,SmartEdge Router,2025-03-26,Cancelled,2025-08-10,2025-01-12,In Transit,Bangalore WH,CUST-10336,ORD-40622
LOG-80011,Nova Firewall,2025-07-12,Confirmed,2025-06-01,2025-08-19,Out for Delivery,London DC,CUST-10879,ORD-41144
LOG-80012,SmartEdge Router,2025-02-28,Shipped,2025-03-31,2025-03-17,Delivered,London DC,CUST-10952,ORD-41892
LOG-80013,StreamLine AP,2025-02-27,Delivered,2025-08-10,2025-08-10,Out for Delivery,Singapore WH,CUST-10302,ORD-42475
LOG-80014,SmartEdge Router,2025-04-29,In Progress,2025-03-03,2025-02-21,Pending,Singapore WH,CUST-10278,ORD-44741
LOG-80015,StreamLine AP,2025-07-19,Confirmed,2025-06-20,2025-08-18,Returned,London DC,CUST-10811,ORD-40240
LOG-80016,SmartEdge Router,2025-02-26,Cancelled,2025-01-22,2025-04-17,Delivered,Berlin Hub,CUST-10334,ORD-43059
