Product ID,Product Name,Product Category,Product Status,R&D Initiation Date,R&D Stage,Launch Status,Launch Date,PM Name,Product Cost ($)
PROD-11001,NetConnect,Analytics,GA (General Availability),2020-11-18,Pre-Launch,Not Launched,2024-09-21,Matthew Monroe,159843
PROD-11002,NetConnect,Analytics,Pilot,2025-07-28,Pre-Launch,Planned,2024-02-18,Justin Garcia,317333
PROD-11003,CloudEdge,Analytics,GA (General Availability),2022-05-04,Pre-Launch,Launched,2022-11-30,Andrew Barton,352489
PROD-11004,Insight360,IoT,Retired,2025-08-16,Concept,Not Launched,2023-06-27,Terry Robbins,463044
PROD-11005,CoreAnalytics,IoT,Retired,2023-04-06,Pre-Launch,Launched,2024-10-30,Matthew Gamble,187324
PROD-11006,CloudEdge,Networking,GA (General Availability),2024-04-08,Testing,In Pipeline,2024-07-13,Mercedes Bradford,323758
PROD-11007,CoreAnalytics,Networking,Retired,2024-08-22,Prototype,Cancelled,2023-05-03,William Rodgers,240783
PROD-11008,DataSphere,Analytics,In Development,2024-11-13,Enhancement,Planned,2024-09-09,Colton Schultz,529433
PROD-11009,CloudEdge,IoT,Pilot,2024-05-17,Enhancement,Planned,2023-08-26,Alexander Lucas,364904
PROD-11010,DataSphere,Analytics,In Development,2022-10-21,Enhancement,Not Launched,2023-08-04,Mrs. Lynn Bender,533060
PROD-11011,Insight360,Cloud Platform,GA (General Availability),2023-05-06,Prototype,In Pipeline,2024-03-24,Deborah Olson,408541
PROD-11012,CloudEdge,Analytics,GA (General Availability),2021-11-14,Concept,Cancelled,2025-01-27,Karen Castillo,357732
PROD-11013,CoreAnalytics,Networking,Retired,2021-11-01,Pre-Launch,Not Launched,2025-01-26,Joshua Davidson,467820
PROD-11014,DataSphere,Networking,Active,2022-02-08,Prototype,Planned,2023-05-23,Mr. Christopher Smith DDS,222364
PROD-11015,DataSphere,IoT,GA (General Availability),2022-07-12,Pre-Launch,Cancelled,2025-05-15,Ryan Flores,575055
PROD-11016,CloudEdge,Networking,Retired,2023-03-07,Testing,Not Launched,2024-09-02,Ashley Vargas,171896
PROD-11017,DataSphere,Security,Pilot,2025-04-30,Testing,Cancelled,2024-05-11,Rebecca Graham,597190
PROD-11018,Insight360,Networking,In Development,2022-09-01,Testing,Launched,2024-05-25,Shawn Kelley,386012
PROD-11019,CoreAnalytics,Networking,GA (General Availability),2025-05-19,Testing,Cancelled,2024-04-25,Drew Ortiz,314390
PROD-11020,DataSphere,Security,Retired,2024-08-28,Enhancement,Launched,2023-12-28,Karen Duarte,280537
PROD-11021,NetConnect,Security,In Development,2023-10-19,Pre-Launch,Planned,2023-09-12,Holly Terry,363770
PROD-11022,CloudEdge,Security,Pilot,2023-09-24,Concept,Not Launched,2023-07-31,Frank Roth,381290
PROD-11023,Insight360,Networking,Retired,2020-11-29,Enhancement,Cancelled,2023-12-14,Derek Adams,244939
PROD-11024,CoreAnalytics,Networking,Retired,2023-07-09,Enhancement,Cancelled,2025-08-18,Elizabeth Carey,571000
PROD-11025,Insight360,Analytics,Retired,2022-08-04,Testing,Not Launched,2023-07-15,Dawn Harris MD,595673
PROD-11026,NetConnect,Networking,Retired,2022-03-20,Concept,Planned,2024-02-26,Tristan Peters,580176
PROD-11027,DataSphere,IoT,Active,2022-02-06,Prototype,In Pipeline,2024-04-16,Michael Moore,258741
PROD-11028,CloudEdge,Analytics,In Development,2023-07-04,Pre-Launch,Cancelled,2024-05-19,Veronica Howard,504206
PROD-11029,CloudEdge,Analytics,Pilot,2024-12-30,Prototype,Planned,2025-08-10,Christian Francis,438370
PROD-11030,Insight360,Analytics,GA (General Availability),2023-03-25,Testing,In Pipeline,2023-04-15,Jacqueline Ramsey,335185
PROD-11031,CloudEdge,Analytics,In Development,2021-07-21,Pre-Launch,Not Launched,2024-06-19,Robert Simmons,329139
PROD-11032,NetConnect,Analytics,Pilot,2023-09-11,Pre-Launch,In Pipeline,2024-12-08,Dwayne Perez,429048
PROD-11033,NetConnect,Analytics,Active,2022-09-02,Concept,Cancelled,2024-03-12,Jennifer Page,171032
PROD-11034,DataSphere,Cloud Platform,Active,2023-08-09,Prototype,In Pipeline,2024-04-07,Deborah Guzman,407657
PROD-11035,DataSphere,Cloud Platform,In Development,2022-05-28,Testing,Not Launched,2025-03-19,Shannon Osborne,292125
PROD-11036,DataSphere,Security,Retired,2025-01-08,Pre-Launch,Not Launched,2023-02-23,Matthew Johnson,216971
PROD-11037,Insight360,Analytics,GA (General Availability),2021-08-11,Concept,Cancelled,2024-03-31,Tina Andrews DVM,422027
PROD-11038,CloudEdge,Security,Active,2021-07-07,Pre-Launch,Planned,2025-02-27,Jake Williams,462427
PROD-11039,CoreAnalytics,Networking,Pilot,2025-04-21,Enhancement,Cancelled,2025-04-18,Mr. Logan Nelson,503917
PROD-11040,CoreAnalytics,Networking,Pilot,2025-02-08,Prototype,Cancelled,2025-07-22,Christopher Jones,392159
PROD-11041,CoreAnalytics,IoT,Active,2023-10-16,Testing,Planned,2023-04-05,Robert Tate,490395
PROD-11042,CloudEdge,Security,GA (General Availability),2022-06-04,Concept,Launched,2024-10-17,Amy Malone,155767
PROD-11043,NetConnect,Analytics,Retired,2022-05-31,Prototype,In Pipeline,2025-05-24,Dawn Thompson,241423
PROD-11044,DataSphere,IoT,GA (General Availability),2025-08-05,Prototype,In Pipeline,2025-06-08,Zachary Valdez,565001
PROD-11045,NetConnect,Cloud Platform,Pilot,2023-03-04,Concept,Launched,2023-10-31,Cindy Le,301404
PROD-11046,CoreAnalytics,Networking,Active,2023-07-25,Prototype,Cancelled,2024-10-03,Crystal Frey,280478
PROD-11047,Insight360,Cloud Platform,Retired,2024-04-14,Concept,Planned,2024-05-02,Melissa Burke,165280
PROD-11048,CoreAnalytics,Networking,Active,2021-12-22,Prototype,Cancelled,2025-05-14,Melissa Fowler,245678
PROD-11049,DataSphere,Security,In Development,2024-02-21,Concept,In Pipeline,2024-09-06,Jacob Cross,443350
PROD-11050,CoreAnalytics,IoT,Pilot,2024-06-21,Testing,In Pipeline,2024-01-07,Michael Reed,332230
PROD-11051,CloudEdge,Networking,Pilot,2022-12-05,Testing,Not Launched,2024-11-06,Steven Rogers,245911
PROD-11052,NetConnect,Networking,Retired,2022-05-21,Concept,Not Launched,2025-01-28,David Brady,363480
PROD-11053,CoreAnalytics,Security,GA (General Availability),2024-11-18,Pre-Launch,Not Launched,2024-10-07,Thomas Thomas,398114
PROD-11054,CoreAnalytics,Cloud Platform,Retired,2022-07-04,Prototype,Not Launched,2025-06-10,Elizabeth Steele,256112
PROD-11055,DataSphere,Networking,Retired,2025-08-25,Prototype,In Pipeline,2024-12-04,David Mejia,558107
PROD-11056,Insight360,Security,In Development,2024-04-05,Pre-Launch,Not Launched,2025-03-07,Ms. Sarah Wiggins,318791
PROD-11057,Insight360,Analytics,GA (General Availability),2022-04-29,Enhancement,Planned,2024-10-04,Michael Henson,322868
PROD-11058,CoreAnalytics,Analytics,Retired,2022-03-27,Concept,Planned,2025-06-14,Colin Oconnor PhD,355873
PROD-11059,CloudEdge,IoT,Pilot,2022-10-01,Testing,Launched,2025-03-16,Christopher Smith,459671
PROD-11060,DataSphere,IoT,GA (General Availability),2022-03-27,Concept,Launched,2023-04-29,Rebecca Dixon,383335
PROD-11061,NetConnect,Networking,GA (General Availability),2025-05-29,Concept,In Pipeline,2023-10-07,Pamela Bruce,404186
PROD-11062,Insight360,IoT,In Development,2023-09-21,Enhancement,Cancelled,2024-01-27,Douglas Luna,276567
PROD-11063,CloudEdge,IoT,GA (General Availability),2023-01-09,Enhancement,Launched,2025-01-20,Melissa Johnston,568711
PROD-11064,CoreAnalytics,Networking,Pilot,2021-09-03,Testing,In Pipeline,2025-04-10,Erica Hines,176900
PROD-11065,DataSphere,Networking,Pilot,2020-09-29,Pre-Launch,Planned,2024-02-21,Brenda Austin,457112
PROD-11066,DataSphere,Security,Pilot,2024-10-13,Enhancement,Cancelled,2023-10-07,Stephen Velasquez,480112
PROD-11067,Insight360,Analytics,Retired,2022-06-27,Pre-Launch,In Pipeline,2023-09-23,Marcia Hickman,486420
PROD-11068,Insight360,Analytics,Active,2025-03-27,Enhancement,In Pipeline,2025-07-28,Jasmin Cooke,599159
PROD-11069,DataSphere,IoT,Pilot,2022-02-03,Enhancement,Planned,2023-01-06,William Johnson,413830
PROD-11070,CloudEdge,Analytics,GA (General Availability),2025-06-30,Testing,Not Launched,2025-07-01,Henry Hernandez,304166
PROD-11071,NetConnect,Networking,GA (General Availability),2023-12-22,Testing,Launched,2025-05-23,Kristin Munoz,230477
PROD-11072,Insight360,Security,Active,2022-07-11,Prototype,Not Launched,2023-08-27,Linda Smith,442201
PROD-11073,Insight360,IoT,GA (General Availability),2023-07-25,Concept,In Pipeline,2023-08-26,Troy Mcfarland,497140
PROD-11074,Insight360,Security,Pilot,2021-05-09,Prototype,Not Launched,2023-07-01,Jimmy Frank,216297
PROD-11075,CoreAnalytics,Cloud Platform,Active,2024-03-03,Concept,Launched,2022-12-26,Dennis Wood,176104
PROD-11076,CloudEdge,Cloud Platform,Pilot,2024-07-20,Pre-Launch,Planned,2023-09-06,James Cruz,596484
PROD-11077,CloudEdge,Analytics,Retired,2024-12-23,Prototype,Planned,2022-12-31,Tina Wright,349802
PROD-11078,NetConnect,IoT,Active,2024-06-09,Testing,In Pipeline,2025-06-21,Timothy Rodriguez,260829
PROD-11079,NetConnect,Cloud Platform,In Development,2024-11-23,Testing,Not Launched,2025-06-19,Lee Dixon,502005
PROD-11080,Insight360,Networking,Retired,2023-10-17,Pre-Launch,In Pipeline,2023-03-18,David Banks,237657
PROD-11081,CloudEdge,IoT,In Development,2021-11-08,Prototype,Launched,2025-08-20,Christopher Curry,598668
